97,Cajarana (Arapiraca),cajarana-arapiraca,AL
98,Coruripe,coruripe,AL
99,Munguba (Santana do Mundaú),munguba-santana-do-mundau,AL
100,Serra da Mandioca (Palmeira dos Índios),serra-da-mandioca-palmeira-dos-indios,AL
101,Água Branca,agua-branca,AL
102,Quati (Arapiraca),quati-arapiraca,AL
103,Retiro (Junqueiro),retiro-junqueiro,AL
104,Peroba (Maragogi),peroba-maragogi,AL
105,Viçosa,vicosa,AL
106,Barra do Bonifácio (Palmeira dos Índios),barra-do-bonifacio-palmeira-dos-indios,AL
107,Pão de Açúcar,pao-de-acucar,AL
108,Pau D Arco (Arapiraca),pau-d-arco-arapiraca,AL
109,Palmeira dos Índios,palmeira-dos-indios,AL
110,Bananeiras (Arapiraca),bananeiras-arapiraca,AL
111,Pontal de Coruripe (Coruripe),pontal-de-coruripe-coruripe,AL
112,Ibateguara,ibateguara,AL
113,Canafístula (Palmeira dos Índios),canafistula-palmeira-dos-indios,AL
114,Poço das Trincheiras,poco-das-trincheiras,AL
115,Rio dos Bichos (Arapiraca),rio-dos-bichos-arapiraca,AL
116,São Sebastião,sao-sebastiao,AL
117,Jundiá,jundia,AL
118,Pindoba,pindoba,AL
119,Boa Vista (Palmeira dos Índios),boa-vista-palmeira-dos-indios,AL
120,Palestina,palestina,AL
121,Poção (Arapiraca),pocao-arapiraca,AL
122,Cangandu (Arapiraca),cangandu-arapiraca,AL
123,Barreiras (Coruripe),barreiras-coruripe,AL
124,Porto Calvo,porto-calvo,AL
432,Chorrochó,chorrocho,BA
125,Caldeirões de Cima (Palmeira dos Índios),caldeiroes-de-cima-palmeira-dos-indios,AL
126,Colônia Leopoldina,colonia-leopoldina,AL
127,Maravilha,maravilha,AL
128,Serra da Massa (Arapiraca),serra-da-massa-arapiraca,AL
129,Maceió,maceio,AL
130,Igreja Nova,igreja-nova,AL
131,Rio Largo,rio-largo,AL
132,Paulo Jacinto,paulo-jacinto,AL
133,Coruripe da Cal (Palmeira dos Índios),coruripe-da-cal-palmeira-dos-indios,AL
134,Jaramataia,jaramataia,AL
135,Mangabeiras (Arapiraca),mangabeiras-arapiraca,AL
136,Gaspar (Arapiraca),gaspar-arapiraca,AL
137,Bonsucesso (Coruripe),bonsucesso-coruripe,AL
138,São Luís do Quitunde,sao-luis-do-quitunde,AL
139,Igaci,igaci,AL
140,Messias,messias,AL
141,Canapi,canapi,AL
142,Taquara (Arapiraca),taquara-arapiraca,AL
143,Satuba,satuba,AL
144,Chã Preta,cha-preta,AL
145,Santo Antônio (Palmeira dos Índios),santo-antonio-palmeira-dos-indios,AL
146,Belo Monte,belo-monte,AL
147,Mata Limpa (Arapiraca),mata-limpa-arapiraca,AL
148,Lagoa da Pedra (Arapiraca),lagoa-da-pedra-arapiraca,AL
149,Jequiá da Praia,jequia-da-praia,AL
150,Passo de Camaragibe,passo-de-camaragibe,AL
151,Belém,belem,AL
152,Mata Grande,mata-grande,AL
153,Craíbas,craibas,AL
154,Alazão (Arapiraca),alazao-arapiraca,AL
155,Coqueiro Seco,coqueiro-seco,AL
156,Capela,capela,AL
157,Lagoa do Caldeirão (Palmeira dos Índios),lagoa-do-caldeirao-palmeira-dos-indios,AL
158,Olho D Água das Flores,olho-d-agua-das-flores,AL
159,Pilões (Arapiraca),piloes-arapiraca,AL
160,Laranjal (Arapiraca),laranjal-arapiraca,AL
